Stasiun;Curah Hujan (mm);Tgl CH;Tx (oC);Tgl Tx;Tn (oC);Tgl Tn;Tav (oC);Tgl Tav;RH (%);Tgl RH;Wx (knot);Tgl Wx
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah I;130.9;11/05/2020;37.0;14/10/2021;17.6;15/07/2022;31.6;13/01/2020;56;13/01/2020;1;28/06/2020
Pos Meteorologi Penggung;148.0;14/01/2020;37.0;14/10/2020;21.0;27/07/2020;31.5;30/09/2020;51;12/09/2020;2;06/04/2020
Pos Meteorologi Tampa Padang Mamuju;118.0;10/05/2022;;;;;;;;;2;27/05/2022
Pos Pengamatan Kahang-Kahang;124.0;18/01/2021;33.6;19/11/2020;19.2;26/07/2021;27.9;07/04/2022;;;3;09/04/2020
Stasiun Geofisika Bandung;160.0;02/05/2020;32.4;23/08/2020;15.6;27/07/2021;28.9;04/10/2020;46;04/10/2020;1;24/04/2020
Stasiun Geofisika Banjarnegara;135.0;05/03/2020;31.2;11/05/2020;13.4;22/01/2021;23.2;24/07/2021;75;29/06/2022;1;27/01/2020
Stasiun Geofisika Deli Serdang;170.6;29/04/2020;9999.0;31/01/2022;19.1;25/09/2021;30.8;19/05/2022;64;09/07/2022;1;01/02/2020
Stasiun Geofisika Denpasar;187.5;06/12/2021;35.0;17/11/2020;21.0;03/01/2020;;;;;1;16/05/2021
Stasiun Geofisika Gunungsitoli;174.8;15/08/2021;34.9;14/03/2020;16.0;02/11/2021;;;;;2;06/12/2021
Stasiun Geofisika Kepahiang;125.4;06/02/2022;32.4;09/08/2021;16.2;27/07/2021;26.3;02/05/2021;71;27/03/2022;1;10/04/2021
Stasiun Geofisika Lampung Utara;108.6;19/03/2022;34.8;16/05/2022;16.8;02/11/2020;29.8;14/05/2022;73;31/07/2020;1;09/04/2020
Stasiun Geofisika Malang;98.0;15/09/2021;9999.0;27/07/2022;16.3;26/08/2020;28.9;13/04/2020;62;13/04/2020;1;05/04/2020
Stasiun Geofisika Manado;139.2;26/12/2020;32.0;18/05/2020;14.8;13/04/2020;25.8;18/05/2020;74;01/11/2020;1;01/05/2020
Stasiun Geofisika Nganjuk;160.0;15/02/2021;33.2;28/09/2020;16.2;01/07/2022;27.5;07/11/2020;52;26/07/2021;1;04/04/2020
Stasiun Geofisika Padang Panjang;132.5;14/10/2021;9999.0;04/10/2021;15.0;19/05/2020;;;;;1;08/04/2020
Stasiun Geofisika Pasuruan;147.9;24/03/2021;30.6;06/11/2020;12.9;26/06/2020;26.6;16/10/2020;57;24/08/2020;1;31/12/2020
Stasiun Geofisika Sleman;110.0;17/06/2021;35.0;21/08/2020;18.0;31/07/2020;28.9;13/11/2020;66;11/09/2021;1;02/03/2020
Stasiun Geofisika Tangerang;118.8;17/02/2021;35.6;18/09/2021;18.8;07/08/2021;30.2;20/04/2020;64;;1;
Stasiun Klimatologi Aceh;116.5;30/03/2021;36.8;23/05/2022;20.4;28/02/2021;31.1;30/06/2022;55;30/06/2022;2;09/04/2020
Stasiun Klimatologi Bali;156.7;21/09/2021;34.2;26/12/2021;19.0;26/07/2020;;;;;2;01/12/2020
Stasiun Klimatologi Bangka Belitung;207.5;18/03/2020;34.6;14/03/2022;21.4;20/08/2020;28.9;18/11/2020;74;18/11/2020;1;28/11/2021
Stasiun Klimatologi Banten;208.9;01/01/2020;37.2;29/06/2020;21.2;23/06/2020;30.4;23/04/2020;60;31/07/2020;2;26/03/2020
Stasiun Klimatologi Bengkulu;270.0;30/06/2022;35.4;22/02/2020;21.5;01/08/2020;29.9;24/02/2020;68;24/02/2020;1;14/07/2021
Stasiun Klimatologi DI Yogyakarta;230.5;14/12/2020;34.8;01/10/2020;17.3;30/07/2020;29.1;03/05/2022;64;29/04/2021;2;02/04/2020
Stasiun Klimatologi Gorontalo;97.7;18/03/2022;35.4;24/02/2020;19.0;10/02/2020;;;;;1;03/04/2020
Stasiun Klimatologi Jambi;137.9;31/12/2020;35.0;14/05/2022;21.4;12/04/2022;29.4;11/03/2020;76;20/08/2020;1;16/02/2020
Stasiun Klimatologi Jawa Barat;155.2;16/07/2022;34.7;08/05/2022;19.2;30/06/2022;28.5;02/12/2020;65;31/07/2020;2;02/02/2020
Stasiun Klimatologi Jawa Tengah;173.5;06/02/2021;36.0;14/10/2020;19.0;03/09/2021;32.3;16/11/2020;54;06/07/2021;2;29/11/2020
Stasiun Klimatologi Jawa Timur;145.0;28/02/2021;32.0;12/04/2020;14.2;30/07/2020;26.9;12/11/2020;38;26/07/2021;2;05/04/2020
Stasiun Klimatologi Jayapura;249.4;09/01/2022;36.6;13/11/2020;18.0;01/09/2020;29.9;20/05/2020;72;11/09/2021;1;26/03/2020
Stasiun Klimatologi Kalimantan Barat;193.9;14/07/2021;9999.0;18/11/2021;21.4;16/02/2021;29.9;10/05/2020;74;30/11/2021;1;10/07/2020
Stasiun Klimatologi Kalimantan Selatan;255.3;14/01/2021;35.4;11/03/2020;20.7;25/07/2021;;;;;1;01/02/2021
Stasiun Klimatologi Lampung;119.5;18/01/2020;9999.0;23/09/2021;20.1;28/07/2021;29.5;12/10/2021;67;30/11/2020;1;07/04/2020
Stasiun Klimatologi Maluku;180.0;29/06/2021;;;18.0;28/12/2020;31.2;26/10/2020;73;24/02/2020;1;01/04/2020
Stasiun Klimatologi Merauke;97.0;18/12/2021;;;19.5;20/08/2022;31.1;25/04/2020;68;20/08/2020;1;02/03/2020
Stasiun Klimatologi Nusa Tenggara Barat;138.5;02/05/2021;35.4;31/03/2022;16.6;25/07/2022;;;;;2;09/04/2020
Stasiun Klimatologi Nusa Tenggara Timur;230.2;04/04/2021;38.4;04/11/2020;16.0;25/07/2021;31.7;21/11/2020;53;13/09/2020;2;22/11/2020
Stasiun Klimatologi Papua Barat;89.7;19/01/2021;34.8;06/08/2021;18.8;07/08/2022;29.1;15/03/2021;65;23/06/2022;1;03/04/2020
Stasiun Klimatologi Riau;420.0;13/05/2022;40.0;12/02/2020;16.7;27/04/2021;30.0;15/03/2020;75;15/03/2020;2;07/04/2020
Stasiun Klimatologi Sulawesi Selatan;263.0;07/12/2021;35.6;02/10/2020;20.2;06/01/2021;31.0;02/10/2020;52;12/09/2020;1;01/02/2020
Stasiun Klimatologi Sulawesi Tenggara;100.3;05/04/2020;36.0;14/01/2020;19.6;19/08/2020;29.6;11/12/2021;69;24/01/2022;1;22/03/2020
Stasiun Klimatologi Sulawesi Utara;172.6;03/03/2020;35.8;15/10/2021;20.4;13/04/2020;30.3;13/05/2021;62;23/08/2020;1;30/03/2020
Stasiun Klimatologi Sumatera Barat;169.2;30/09/2021;9999.0;13/06/2020;17.4;28/03/2022;29.8;27/02/2020;60;22/02/2020;1;02/04/2020
Stasiun Klimatologi Sumatera Selatan;150.0;25/12/2021;36.8;31/08/2020;20.4;05/08/2022;33.3;31/05/2020;58;31/05/2020;1;23/01/2020
Stasiun Klimatologi Sumatera Utara;146.0;29/01/2020;9999.0;16/07/2020;21.0;29/01/2020;30.2;19/05/2020;67;03/07/2022;1;12/05/2020
Stasiun Meteorologi Aek Godang;124.9;16/12/2021;35.3;27/03/2022;18.8;21/02/2022;28.5;19/05/2020;62;08/08/2020;2;13/07/2020
Stasiun Meteorologi Ahmad Yani;171.0;06/02/2021;36.4;17/10/2021;20.8;11/08/2020;31.3;13/11/2020;48;06/07/2021;2;28/11/2021
Stasiun Meteorologi Aji Pangeran Tumenggung Pranoto;94.1;21/03/2020;36.2;24/04/2020;20.2;12/09/2021;31.6;14/10/2020;68;09/03/2020;2;06/03/2020
Stasiun Meteorologi Amahai;327.0;17/07/2022;35.8;30/01/2020;21.5;23/07/2022;30.7;30/01/2020;71;01/02/2022;1;16/05/2021
Stasiun Meteorologi Andi Jemma;153.0;17/04/2021;35.3;01/11/2021;20.2;22/02/2020;29.8;12/11/2020;66;12/10/2020;1;14/07/2020
Stasiun Meteorologi Bandaneira;187.3;17/01/2021;34.0;13/09/2021;19.2;05/01/2020;30.3;17/04/2020;67;19/08/2022;2;11/03/2020
Stasiun Meteorologi Banyuwangi;127.1;31/10/2020;34.9;13/01/2020;20.0;28/07/2021;30.5;27/12/2021;64;25/07/2022;2;05/04/2020
Stasiun Meteorologi Beringin;138.5;23/03/2021;35.8;23/02/2020;19.3;01/03/2021;30.2;09/05/2020;72;12/02/2020;1;06/03/2020
Stasiun Meteorologi Beto Ambari;114.5;19/05/2020;36.2;17/11/2020;20.4;20/08/2020;30.2;17/11/2020;67;26/08/2020;1;28/06/2020
Stasiun Meteorologi Binaka;136.0;17/12/2021;35.6;14/03/2020;20.0;30/06/2021;29.5;23/02/2020;68;23/02/2020;2;05/04/2020
Stasiun Meteorologi Budiarto;118.6;25/02/2020;35.8;08/11/2020;20.0;01/08/2020;29.9;13/11/2020;67;24/11/2021;2;18/06/2020
Stasiun Meteorologi Citeko;124.0;08/02/2021;29.2;24/05/2020;16.0;01/08/2020;24.4;27/05/2021;58;25/07/2021;1;23/03/2020
Stasiun Meteorologi Cut Nyak Dhien Nagan Raya;236.5;06/07/2021;35.1;08/08/2020;18.8;03/07/2021;29.1;05/01/2021;73;12/06/2020;1;02/05/2020
Stasiun Meteorologi Dabo;164.0;29/08/2021;35.2;15/03/2020;20.0;15/03/2020;30.3;24/03/2020;69;24/03/2020;1;03/05/2020
Stasiun Meteorologi David Constatijn Saudale;119.2;23/02/2021;36.0;16/11/2020;17.0;25/07/2020;31.1;21/11/2020;52;12/10/2020;2;25/02/2021
Stasiun Meteorologi Depati Amir;117.5;19/10/2020;35.0;07/04/2021;20.2;22/05/2022;30.0;12/10/2021;73;23/05/2022;2;18/06/2020
Stasiun Meteorologi Depati Parbo;65.1;08/02/2020;34.7;24/05/2022;13.6;28/03/2022;25.6;25/07/2020;56;29/11/2021;1;29/05/2020
Stasiun Meteorologi Djalaluddin;211.1;05/11/2021;35.9;08/12/2020;19.6;10/02/2020;29.7;05/04/2021;69;24/10/2020;1;17/05/2020
Stasiun Meteorologi Dok II Jayapura;162.4;22/02/2022;34.2;06/03/2020;21.2;19/03/2020;30.4;23/05/2020;76;20/02/2020;2;10/01/2020
Stasiun Meteorologi Domine Eduard Osok;140.9;22/08/2022;34.3;09/03/2022;18.1;15/06/2020;29.9;28/02/2021;67;03/02/2020;2;03/03/2022
Stasiun Meteorologi Eltari;305.7;05/04/2021;38.3;16/11/2020;17.0;19/08/2022;31.4;21/11/2020;54;24/08/2020;3;08/04/2020
Stasiun Meteorologi Emalamo;139.1;14/07/2022;34.6;10/02/2020;22.6;06/07/2021;30.5;14/05/2020;68;23/02/2022;1;13/04/2020
Stasiun Meteorologi Enarotali;92.8;19/05/2022;27.2;01/03/2020;10.3;06/06/2022;21.5;09/05/2020;63;13/04/2021;2;23/01/2020
Stasiun Meteorologi Fatmawati Soekarno;257.4;30/06/2022;35.4;16/05/2020;19.8;01/08/2020;29.6;22/02/2020;68;01/02/2020;2;14/07/2021
Stasiun Meteorologi FL Tobing;204.9;12/06/2022;37.1;23/02/2020;18.4;28/03/2022;29.2;28/02/2020;72;23/02/2020;1;23/12/2021
Stasiun Meteorologi Frans Kaisiepo;95.8;18/12/2021;32.6;19/05/2020;21.7;18/07/2022;30.2;30/10/2020;70;15/10/2021;2;16/03/2020
Stasiun Meteorologi Frans Sales Lega;141.2;02/01/2020;29.0;24/06/2021;9.4;02/08/2020;24.3;22/12/2021;54;12/10/2021;2;02/04/2020
Stasiun Meteorologi Fransiskus Xaverius Seda;120.0;27/02/2021;37.0;07/11/2020;18.8;26/07/2021;31.7;07/11/2020;60;18/09/2021;2;13/06/2020
Stasiun Meteorologi Gamar Malamo;298.0;16/01/2021;34.4;03/05/2020;19.0;31/05/2021;28.7;13/01/2020;80;16/04/2022;1;08/01/2020
Stasiun Meteorologi Gewayantana;172.2;27/12/2021;37.4;07/11/2020;19.0;25/07/2022;32.3;07/11/2020;56;29/07/2020;2;25/01/2020
Stasiun Meteorologi Gusti Syamsir Alam;150.9;10/08/2020;35.8;10/08/2020;20.8;13/02/2020;29.7;24/02/2020;66;05/06/2022;1;01/06/2020
Stasiun Meteorologi H. AS. Hanandjoeddin;148.5;13/01/2021;302.0;25/01/2021;21.3;27/02/2022;28.9;14/06/2020;74;31/07/2020;2;20/10/2020
Stasiun Meteorologi H. Asan;176.8;28/06/2022;35.6;14/01/2020;20.6;29/11/2021;29.5;21/04/2020;76;26/08/2020;1;20/06/2021
Stasiun Meteorologi Hang Nadim;192.1;02/01/2021;37.5;16/11/2020;20.7;14/09/2020;30.4;20/04/2020;68;17/03/2020;2;26/10/2020
Stasiun Meteorologi I Gusti Ngurah Rai;177.4;06/12/2021;9999.0;14/03/2021;20.5;10/10/2020;29.8;12/11/2020;64;29/07/2020;3;12/04/2020
Stasiun Meteorologi Iskandar;137.8;22/08/2021;37.2;21/01/2020;20.6;15/07/2021;29.4;11/03/2020;70;18/02/2021;2;21/03/2020
Stasiun Meteorologi Japura;140.6;11/06/2022;35.8;29/03/2022;20.6;20/07/2022;29.5;22/03/2022;76;29/02/2020;2;03/04/2020
Stasiun Meteorologi Juanda;127.7;01/02/2020;36.0;29/10/2021;19.1;31/07/2020;31.0;13/11/2020;58;12/10/2021;2;18/06/2022
Stasiun Meteorologi Juwata;130.4;28/09/2020;35.4;04/11/2020;21.2;01/08/2020;30.3;11/10/2021;74;16/03/2020;2;25/03/2020
Stasiun Meteorologi Kalimarau;118.5;06/05/2020;36.8;10/12/2021;20.1;03/01/2021;29.8;15/05/2020;75;25/02/2022;2;08/04/2020
Stasiun Meteorologi Karel Sadsuitubun;118.3;26/03/2022;34.6;24/11/2020;18.8;03/04/2022;29.6;16/11/2020;74;27/06/2021;1;14/04/2020
Stasiun Meteorologi Kasiguncu;102.0;05/01/2020;35.0;29/08/2020;19.2;18/09/2021;29.9;30/08/2020;55;27/08/2020;1;08/12/2021
Stasiun Meteorologi Kemayoran;277.5;25/02/2020;35.6;24/05/2020;23.0;11/03/2021;31.2;24/05/2020;60;31/07/2020;2;01/02/2020
Stasiun Meteorologi Kertajati;214.2;08/02/2021;37.6;10/10/2021;19.8;01/07/2022;30.5;16/11/2020;58;25/07/2020;1;26/05/2020
Stasiun Meteorologi Komodo;79.4;28/12/2021;35.4;19/10/2021;20.6;02/08/2020;30.2;29/01/2020;60;24/07/2022;3;13/02/2020
Stasiun Meteorologi Kualanamu;132.5;23/06/2022;35.3;02/07/2022;19.4;25/12/2021;29.6;16/03/2020;72;10/07/2022;2;30/09/2020
Stasiun Meteorologi Kuffar;255.2;14/07/2022;34.8;13/11/2021;20.0;30/04/2020;30.7;29/01/2020;68;20/01/2020;2;02/03/2020
Stasiun Meteorologi Maimun Saleh;107.4;21/12/2021;35.1;17/05/2022;19.4;28/02/2021;30.2;18/05/2020;58;19/07/2021;2;07/12/2020
Stasiun Meteorologi Majene;168.0;16/01/2021;35.0;03/04/2020;20.4;03/07/2021;30.0;06/04/2021;60;06/04/2021;1;17/12/2021
Stasiun Meteorologi Mali;84.4;05/04/2021;35.4;04/10/2021;18.0;26/08/2020;31.4;01/12/2020;65;04/10/2021;1;30/06/2022
Stasiun Meteorologi Malikussaleh;165.2;05/06/2021;35.5;02/01/2020;20.8;12/03/2021;28.8;01/04/2021;71;08/10/2020;2;21/05/2020
Stasiun Meteorologi Mararena;151.0;17/02/2022;34.2;26/03/2022;22.1;21/07/2022;29.8;10/05/2022;76;08/02/2020;1;03/02/2022
Stasiun Meteorologi Maritim Ambon;200.0;19/07/2022;34.8;28/01/2022;21.0;18/06/2021;30.1;31/01/2022;70;31/01/2022;1;19/07/2022
Stasiun Meteorologi Maritim Belawan;159.0;29/01/2020;35.8;02/07/2022;20.8;10/01/2021;30.6;02/07/2022;59;02/07/2022;2;12/09/2020
Stasiun Meteorologi Maritim Bitung;196.5;14/09/2020;36.8;30/06/2022;21.2;19/02/2020;30.5;23/12/2020;61;21/02/2022;1;27/03/2020
Stasiun Meteorologi Maritim Kendari;93.8;02/07/2021;35.2;23/03/2020;20.4;20/08/2020;30.0;11/12/2021;76;22/08/2020;1;07/04/2020
Stasiun Meteorologi Maritim Panjang;115.3;05/08/2020;36.0;16/04/2022;22.4;05/10/2020;30.6;15/05/2022;69;28/02/2022;2;01/06/2020
Stasiun Meteorologi Maritim Paotere;218.8;07/12/2021;35.0;07/11/2020;21.8;23/01/2021;30.6;15/10/2020;59;12/09/2020;2;13/05/2020
Stasiun Meteorologi Maritim Pontianak;168.0;20/11/2020;35.8;31/03/2022;20.8;20/11/2021;30.6;04/06/2021;67;05/07/2021;1;22/04/2020
Stasiun Meteorologi Maritim Serang;180.4;01/03/2022;35.6;14/10/2021;20.4;09/07/2022;29.9;27/03/2022;68;09/09/2020;1;30/11/2021
Stasiun Meteorologi Maritim Tanjung Emas;155.0;24/02/2021;36.4;10/10/2021;21.8;31/07/2020;31.0;13/11/2020;51;06/07/2021;3;08/04/2020
Stasiun Meteorologi Maritim Tanjung Perak;101.8;29/02/2020;37.5;22/10/2021;22.0;30/07/2020;31.7;13/11/2020;59;12/10/2021;2;15/03/2020
Stasiun Meteorologi Maritim Tanjung Priok;155.5;08/02/2020;35.6;20/03/2022;20.2;05/10/2020;31.4;24/05/2020;60;20/03/2022;2;14/07/2021
Stasiun Meteorologi Maritim Tegal;189.1;01/01/2020;35.4;25/10/2021;21.6;31/07/2020;30.1;23/12/2020;62;30/07/2020;2;21/04/2020
Stasiun Meteorologi Maritim Teluk Bayur;235.2;10/09/2020;35.9;22/02/2020;21.4;20/12/2021;30.8;23/02/2020;54;23/02/2020;1;03/01/2021
Stasiun Meteorologi Mathilda Batlayeri;225.9;27/02/2021;35.3;01/03/2020;20.0;24/07/2022;31.0;27/01/2020;68;22/07/2022;2;10/04/2020
Stasiun Meteorologi Minangkabau;250.0;30/09/2021;35.0;21/02/2020;20.4;28/03/2022;29.3;22/02/2020;70;19/02/2022;2;06/04/2020
Stasiun Meteorologi Mopah;136.1;31/07/2021;34.4;24/11/2020;20.3;14/09/2020;30.1;18/01/2020;65;30/09/2020;3;08/04/2020
Stasiun Meteorologi Mozez Kilangin;191.0;30/12/2020;35.3;26/02/2020;19.0;18/05/2022;29.4;27/02/2020;70;02/03/2020;2;05/02/2020
Stasiun Meteorologi Mutiara Sis-Al Jufri;81.1;20/10/2021;37.4;21/01/2020;19.4;22/02/2022;30.3;04/04/2020;63;20/12/2020;2;03/06/2020
Stasiun Meteorologi Nabire;169.9;04/03/2020;83.0;07/05/2020;20.8;05/07/2021;29.9;09/11/2020;69;06/12/2021;2;01/07/2021
Stasiun Meteorologi Naha;238.1;24/12/2021;35.0;26/02/2021;21.2;23/02/2022;30.1;11/10/2021;70;08/04/2022;2;08/04/2020
Stasiun Meteorologi Namlea;123.3;24/02/2020;34.1;16/11/2020;21.4;14/08/2020;28.9;11/11/2020;76;11/10/2020;2;12/02/2021
Stasiun Meteorologi Nangapinoh;143.0;14/09/2021;36.6;11/03/2020;20.1;17/03/2021;29.9;14/10/2021;73;27/02/2021;1;17/01/2021
Stasiun Meteorologi Nunukan;157.3;28/09/2020;34.6;17/04/2020;21.2;01/08/2020;29.6;12/04/2020;68;04/02/2020;1;10/05/2022
Stasiun Meteorologi Oesman Sadik;134.2;04/02/2020;85.0;04/05/2020;19.6;25/05/2022;28.7;23/12/2020;68;19/01/2020;1;14/06/2020
Stasiun Meteorologi Paloh;207.4;14/07/2021;35.4;25/05/2021;20.0;16/02/2021;30.2;13/05/2020;74;13/05/2020;1;16/01/2020
Stasiun Meteorologi Pangsuma;115.4;26/04/2020;35.9;15/03/2020;21.0;08/03/2021;29.7;13/10/2021;73;27/02/2022;1;11/04/2020
Stasiun Meteorologi Pattimura;306.0;12/07/2021;35.9;16/02/2020;21.4;23/07/2022;30.9;17/01/2020;66;21/01/2020;2;03/04/2020
Stasiun Meteorologi Perak I;133.9;05/04/2020;37.9;22/10/2021;22.0;30/07/2020;32.0;18/11/2020;55;12/10/2021;2;15/03/2020
Stasiun Meteorologi Radin Inten II;151.0;02/11/2021;35.2;15/04/2022;19.6;26/07/2021;29.4;14/05/2022;67;30/06/2022;2;18/01/2020
Stasiun Meteorologi Rahadi Oesman;194.5;22/08/2022;35.7;30/05/2020;21.0;31/07/2020;30.3;08/12/2020;68;04/02/2021;2;16/03/2020
Stasiun Meteorologi Raja Haji Abdullah;118.5;11/09/2020;34.8;23/05/2021;21.0;17/01/2020;30.7;20/04/2020;70;30/03/2020;1;21/07/2020
Stasiun Meteorologi Raja Haji Fisabilillah;282.6;02/01/2021;34.1;30/05/2022;21.9;10/01/2021;29.5;06/10/2021;70;18/02/2021;2;26/05/2020
Stasiun Meteorologi Ranai;191.4;27/11/2020;34.8;23/05/2020;20.0;17/02/2021;30.5;01/04/2020;69;31/03/2021;1;19/05/2020
Stasiun Meteorologi Rendani;189.6;02/03/2020;34.6;29/01/2020;21.8;23/08/2020;30.6;01/11/2020;69;09/02/2020;2;11/05/2020
Stasiun Meteorologi Sam Ratulangi;151.8;03/03/2020;38.4;05/10/2021;19.8;01/01/2022;30.1;28/07/2021;57;28/07/2021;2;27/03/2020
Stasiun Meteorologi Sanggu;132.0;06/05/2021;36.0;06/05/2020;19.1;13/01/2020;31.5;21/03/2022;67;21/03/2022;1;05/11/2021
Stasiun Meteorologi Sangia Ni Bandera;150.5;16/02/2022;36.2;17/11/2020;20.4;22/01/2020;33.6;25/03/2020;54;25/03/2020;1;17/08/2021
Stasiun Meteorologi Sangkapura;168.6;29/11/2021;33.6;11/03/2020;22.4;09/01/2020;30.7;29/10/2020;69;26/07/2020;1;20/12/2021
Stasiun Meteorologi Sentani;140.4;07/01/2022;36.7;28/12/2020;20.1;15/05/2022;30.6;18/05/2022;59;02/11/2021;2;26/04/2020
Stasiun Meteorologi Silangit;90.0;28/08/2022;;;13.0;20/09/2021;;;;;2;11/03/2021
Stasiun Meteorologi Soekarno Hatta;150.6;19/01/2022;35.5;18/12/2021;19.5;28/07/2021;30.3;25/05/2020;56;24/11/2021;2;22/03/2020
Stasiun Meteorologi Sudjarwo Tjondro Negoro;112.0;23/06/2021;35.0;18/05/2020;21.3;03/07/2020;30.3;18/05/2020;69;03/07/2020;1;17/04/2022
Stasiun Meteorologi Sultan Aji Muhammad Sulaiman Sepinggan;190.5;25/08/2022;34.3;23/01/2020;22.0;28/02/2022;29.6;22/11/2021;72;16/03/2021;2;18/02/2020
Stasiun Meteorologi Sultan Babullah;114.4;29/04/2020;33.8;08/10/2021;22.6;19/07/2022;30.0;11/05/2020;70;27/07/2021;2;26/06/2020
Stasiun Meteorologi Sultan Bantilan;202.3;23/03/2022;34.5;12/03/2020;21.0;10/02/2020;29.9;29/05/2021;74;20/12/2020;1;21/03/2020
Stasiun Meteorologi Sultan Hasanuddin;243.3;07/12/2021;37.0;02/10/2020;18.8;25/07/2021;30.0;02/10/2020;55;25/08/2020;1;01/12/2020
Stasiun Meteorologi Sultan Iskandar Muda;149.6;01/10/2021;37.2;13/10/2021;18.2;09/07/2021;30.6;10/07/2022;56;04/08/2020;2;01/06/2020
Stasiun Meteorologi Sultan Mahmud Badaruddin II;95.0;26/01/2021;35.1;24/03/2022;19.8;05/08/2022;29.9;27/08/2020;63;01/12/2021;2;10/07/2020
Stasiun Meteorologi Sultan Muhammad Kaharuddin;89.4;20/11/2021;38.3;16/11/2020;19.0;29/07/2020;30.8;17/11/2020;57;30/08/2020;2;29/11/2021
Stasiun Meteorologi Sultan Muhammad Salahuddin;88.0;19/12/2021;37.4;16/11/2020;18.2;03/08/2020;30.9;12/11/2020;61;26/08/2020;2;10/02/2021
Stasiun Meteorologi Sultan Syarif Kasim II;105.0;22/04/2021;36.0;01/04/2020;21.0;18/06/2021;29.9;14/05/2022;65;02/04/2021;3;08/04/2020
Stasiun Meteorologi Sultan Thaha;97.5;31/12/2020;35.2;20/04/2020;20.9;15/07/2022;30.0;09/10/2021;69;01/12/2021;2;06/05/2020
Stasiun Meteorologi Supadio;162.0;14/07/2021;35.8;11/03/2020;20.1;26/02/2021;30.0;04/06/2021;70;26/02/2021;2;14/09/2020
Stasiun Meteorologi Syamsudin Noor;249.0;14/01/2021;35.9;11/03/2020;20.8;25/07/2021;30.9;11/10/2020;62;11/10/2020;2;11/05/2020
Stasiun Meteorologi Syukuran Aminudin Amir;105.5;08/07/2022;35.7;25/02/2022;21.6;12/05/2021;30.8;20/11/2021;60;02/11/2020;1;10/04/2020
Stasiun Meteorologi Tanah Merah;225.5;25/04/2021;36.9;21/10/2021;21.6;06/08/2021;30.6;13/03/2022;71;04/11/2021;2;09/04/2020
Stasiun Meteorologi Tanjung Harapan;143.9;02/12/2020;36.5;02/04/2021;20.0;03/06/2021;29.6;28/08/2020;74;27/05/2020;1;15/02/2020
Stasiun Meteorologi Tardamu;113.5;05/04/2021;36.8;12/11/2020;17.4;07/07/2022;32.4;21/11/2020;57;01/08/2020;2;12/03/2020
Stasiun Meteorologi Tarempa;230.9;21/12/2020;9999.0;12/04/2021;21.0;22/08/2020;30.4;09/08/2020;71;07/06/2021;1;04/06/2020
Stasiun Meteorologi Tebelian;149.0;10/02/2022;36.1;27/02/2021;20.0;03/01/2021;29.3;24/05/2022;74;19/08/2022;2;03/04/2020
Stasiun Meteorologi Tjilik Riwut;185.7;05/01/2020;35.4;07/03/2020;21.0;16/01/2021;30.4;11/03/2020;71;05/07/2022;2;14/03/2020
Stasiun Meteorologi Toraja;156.8;22/05/2020;32.2;31/01/2020;14.6;25/10/2020;24.9;06/05/2020;70;03/04/2021;1;07/01/2021
Stasiun Meteorologi Torea;203.2;07/07/2022;35.2;02/02/2020;20.0;24/01/2020;29.3;30/01/2020;68;10/02/2020;2;19/02/2020
Stasiun Meteorologi Trunojoyo;116.4;26/05/2022;35.0;14/11/2020;20.6;30/07/2020;31.4;16/11/2020;59;05/10/2020;2;29/03/2021
Stasiun Meteorologi Tuban;159.0;20/11/2021;34.9;08/10/2021;19.6;26/07/2021;30.5;13/11/2020;59;27/08/2021;2;06/04/2020
Stasiun Meteorologi Tunggul Wulung;133.2;29/11/2020;330.0;10/07/2020;20.5;06/08/2020;29.6;20/01/2020;70;20/01/2021;2;08/04/2020
Stasiun Meteorologi Umbu Mehang Kunda;97.4;20/05/2020;37.0;14/06/2021;17.4;25/07/2022;31.0;19/11/2020;49;24/06/2020;2;28/01/2021
Stasiun Meteorologi Utarom;156.1;07/07/2022;36.9;30/01/2020;21.8;21/06/2022;32.2;29/01/2020;65;29/01/2020;2;23/03/2020
Stasiun Meteorologi Wamena Jaya Wijaya;82.4;17/02/2022;30.4;18/05/2020;9.4;30/06/2022;22.8;05/05/2021;64;03/11/2021;2;23/01/2020
Stasiun Meteorologi Yogyakarta;71.3;27/05/2022;32.9;11/05/2022;17.8;26/07/2022;29.5;05/05/2022;70;25/07/2022;2;03/06/2022
Stasiun Meteorologi Yuvai Semaring;97.7;20/05/2021;;;14.2;08/06/2022;25.3;08/05/2020;71;14/10/2021;1;01/01/2020
Stasiun Meteorologi Zainuddin Abdul Madjid;127.0;29/05/2020;36.9;10/02/2022;16.6;25/07/2022;29.2;14/11/2020;70;20/08/2022;1;02/04/2021
Stasiun Pemantau Atmosfer Global Bukit Koto Tabang;47.0;23/08/2020;29.4;12/08/2020;15.2;02/12/2020;23.7;20/08/2020;83;24/08/2020;2;06/08/2020
